hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
也,yě,"also; too; (in Classical Chinese) final particle implying affirmation","我也喜欢这本书。","wǒ yě xǐhuan zhè běn shū.","I also like this book.","他不高，我也不高。","tā bù gāo, wǒ yě bù gāo.","He is not tall, and I am not tall either."
会,huì,"can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3])","我会说中文。","wǒ huì shuō Zhōngwén.","I can speak Chinese.","明天会下雨吗？","míngtiān huì xià yǔ ma?","Will it rain tomorrow?"
个,gè,"individual; this; that; size; classifier for people or objects in general","我有一个问题。","wǒ yǒu yī gè wèntí.","I have a question.","他是一个好人。","tā shì yī gè hǎorén.","He is a good person."
去,qù,"to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)","我明天要去北京。","wǒ míngtiān yào qù Běijīng.","I am going to Beijing tomorrow.","请把垃圾拿去扔掉。","qǐng bǎ lājī ná qù rēngdiào.","Please take the trash out."
她,tā,"she","她是我的妹妹。","tā shì wǒ de mèimei.","She is my younger sister.","她很喜欢唱歌。","tā hěn xǐhuan chànggē.","She likes singing very much."
那,nà,"that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing","那是什么？","nà shì shénme?","What is that?","那好吧，就这样吧。","nà hǎo ba, jiù zhèyàng ba.","Alright then, let's leave it at that."
吧,ba,"(modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.","我们走吧。","wǒmen zǒu ba.","Let's go.","你累了吧？","nǐ lèi le ba?","You must be tired, right?"
人,rén,"man; person; people; CL:個|个[ge4],位[wei4]","他是一个好人。","tā shì yī gè hǎorén.","He is a good person.","公园里有很多人。","gōngyuán lǐ yǒu hěn duō rén.","There are many people in the park."
没有,méiyǒu,"haven't; hasn't; doesn't exist; to not have; to not be","我没有钱。","wǒ méiyǒu qián.","I don't have money.","他昨天没有来。","tā zuótiān méiyǒu lái.","He didn't come yesterday."
很,hěn,"(adverb of degree); quite; very; awfully","今天天气很好。","jīntiān tiānqì hěn hǎo.","The weather is very good today.","他跑得很快。","tā pǎo de hěn kuài.","He runs very fast."
知道,zhīdào,"to know; to become aware of; also pr. [zhi1 dao5]","我知道这件事。","wǒ zhīdào zhè jiàn shì.","I know about this matter.","你知不知道他在哪里？","nǐ zhī bù zhīdào tā zài nǎlǐ?","Do you know where he is?"
还,hái,"still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else","他还在睡觉。","tā hái zài shuìjiào.","He is still sleeping.","我还要一杯水。","wǒ hái yào yī bēi shuǐ.","I want one more glass of water."
还,huán,"to pay back; to return","请把书还给我。","qǐng bǎ shū huán gěi wǒ.","Please return the book to me.","他已经还钱了。","tā yǐjīng huán qián le.","He has already paid back the money."
怎么,zěnme,"how?; what?; why?","这个字怎么写？","zhè ge zì zěnme xiě?","How do you write this character?","你怎么哭了？","nǐ zěnme kū le?","Why are you crying?"
看,kàn,"to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger)","你看那只鸟。","nǐ kàn nà zhī niǎo.","Look at that bird.","我喜欢看电影。","wǒ xǐhuan kàn diànyǐng.","I like watching movies."
你们,nǐmen,"you (plural)","你们好！","nǐmen hǎo!","Hello everyone!","这是你们的书吗？","zhè shì nǐmen de shū ma?","Is this your (plural) book?"
想,xiǎng,"to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth)","我想回家。","wǒ xiǎng huí jiā.","I want to go home.","我想你。","wǒ xiǎng nǐ.","I miss you."
到,dào,"to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action)","我们下午三点到。","wǒmen xiàwǔ sān diǎn dào.","We arrive at 3 PM.","我找到我的钥匙了。","wǒ zhǎodào wǒ de yàoshi le.","I found my keys."
啦,la,"sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples","太好啦！","tài hǎo la!","That's great!","他会唱歌啦，跳舞啦，还会画画。","tā huì chànggē la, tiàowǔ la, hái huì huà huà.","He can sing, dance, and also draw."
对,duì,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple","你说得对。","nǐ shuō de duì.","What you said is correct.","他对我很友好。","tā duì wǒ hěn yǒuhǎo.","He is very friendly towards me."
给,gěi,"to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier)","请把这本书给我。","qǐng bǎ zhè běn shū gěi wǒ.","Please give this book to me.","他给我打了个电话。","tā gěi wǒ dǎ le ge diànhuà.","He gave me a phone call."
不是,bùshì,"no; is not; not","我不是故意的。","wǒ bùshì gùyì de.","I didn't do it on purpose.","他不是学生，是老师。","tā bùshì xuéshēng, shì lǎoshī.","He is not a student, he is a teacher."
可以,kěyǐ,"can; may; possible; able to; not bad; pretty good","我可以进来吗？","wǒ kěyǐ jìnlái ma?","May I come in?","这个菜味道还可以。","zhè ge cài wèidào hái kěyǐ.","This dish tastes pretty good."
现在,xiànzài,"now; at present; at the moment; modern; current; nowadays","现在几点了？","xiànzài jǐ diǎn le?","What time is it now?","我现在很忙。","wǒ xiànzài hěn máng.","I am very busy now."
真,zhēn,"really; truly; indeed; real; true; genuine","你真好！","nǐ zhēn hǎo!","You are really nice!","这是真花吗？","zhè shì zhēn huā ma?","Is this a real flower?"
不要,bùyào,"don't!; must not","不要说话。","bùyào shuōhuà.","Don't talk.","我不要这个。","wǒ bùyào zhège.","I don't want this."
这个,zhège,"this; this one","这个多少钱？","zhège duōshǎo qián?","How much is this one?","这个主意不错。","zhège zhǔyi bùcuò.","This idea is not bad."
把,bǎ,"to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful","请把门关上。","qǐng bǎ mén guānshàng.","Please close the door.","他把杯子打碎了。","tā bǎ bēizi dǎsuì le.","He broke the cup."
让,ràng,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被[bei4])","请让我看看。","qǐng ràng wǒ kànkan.","Please let me have a look.","他让座给了一位老人。","tā ràngzuò gěi le yī wèi lǎorén.","He yielded his seat to an elderly person."
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation","我很好，你呢？","wǒ hěn hǎo, nǐ ne?","I am fine, and you?","他还在吃饭呢。","tā hái zài chīfàn ne.","He is still eating."
这么,zhème,"so much; this much; how much?; this way; like this","你怎么这么晚才来？","nǐ zěnme zhème wǎn cái lái?","Why did you come so late?","不要这么做。","bùyào zhème zuò.","Don't do it this way."
走,zǒu,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning)","我们走吧。","wǒmen zǒu ba.","Let's go.","他每天走路上学。","tā měitiān zǒu lù shàngxué.","He walks to school every day."
没,méi,"(negative prefix for verbs); have not; not","我没吃饭。","wǒ méi chī fàn.","I haven't eaten.","他没告诉我。","tā méi gàosu wǒ.","He didn't tell me."
就是,jiùshì,"(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as","我找的就是你。","wǒ zhǎo de jiùshì nǐ.","You are precisely the one I'm looking for.","他就是不说实话。","tā jiùshì bù shuō shíhuà.","He just won't tell the truth."
做,zuò,"to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance","你在做什么？","nǐ zài zuò shénme?","What are you doing?","她做饭很好吃。","tā zuòfàn hěn hǎochī.","She cooks delicious food."
多,duō,"many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means ""how","这里人很多。","zhèlǐ rén hěn duō.","There are many people here.","你多大了？","nǐ duō dà le?","How old are you?"
这样,zhèyàng,"this kind of; so; this way; like this; such","这样做不对。","zhèyàng zuò bùduì.","Doing it this way is not correct.","我没见过这样的事情。","wǒ méi jiànguo zhèyàng de shìqing.","I haven't seen this kind of thing before."
再,zài,"again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)","请再说一遍。","qǐng zài shuō yī biàn.","Please say it again.","明天再来吧。","míngtiān zài lái ba.","Come again tomorrow."
过,guò,"to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-","我们过马路要小心。","wǒmen guò mǎlù yào xiǎoxīn.","We must be careful when crossing the road.","你吃过饭了吗？","nǐ chī guo fàn le ma?","Have you eaten?"
得,dé,"to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished","他得了一等奖。","tā dé le yīděngjiǎng.","He got the first prize.","我觉得这个方法很得当。","wǒ juéde zhège fāngfǎ hěn dédàng.","I think this method is very appropriate."
得,děi,"to have to; must; ought to; to need to","我得走了。","wǒ děi zǒu le.","I have to go.","你得努力学习。","nǐ děi nǔlì xuéxí.","You must study hard."
一下,yīxià,"(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once","请等一下。","qǐng děng yīxià.","Please wait a moment.","让我看一下。","ràng wǒ kàn yīxià.","Let me take a look."
不会,bùhuì,"improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; (coll.) (Tw) don't mention it; not at all","我不会游泳。","wǒ bùhuì yóuyǒng.","I can't swim.","他今天不会来了。","tā jīntiān bùhuì lái le.","He won't come today."
如果,rúguǒ,"if; in case; in the event that","如果下雨，我们就不去了。","rúguǒ xià yǔ, wǒmen jiù bù qù le.","If it rains, we won't go.","如果你需要帮助，请告诉我。","rúguǒ nǐ xūyào bāngzhù, qǐng gàosu wǒ.","If you need help, please tell me."
找,zhǎo,"to try to find; to look for; to call on sb; to find; to seek; to return; to give change","我在找我的手机。","wǒ zài zhǎo wǒ de shǒujī.","I am looking for my phone.","他找你有什么事吗？","tā zhǎo nǐ yǒu shénme shì ma?","Why is he looking for you? / Does he want something from you?"
他们,tāmen,"they","他们是我的同学。","tāmen shì wǒ de tóngxué.","They are my classmates.","他们正在打篮球。","tāmen zhèngzài dǎ lánqiú.","They are playing basketball."
上,shàng,"on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)","书在桌子上。","shū zài zhuōzi shàng.","The book is on the table.","我们上楼吧。","wǒmen shàng lóu ba.","Let's go upstairs."
自己,zìjǐ,"oneself; one's own","请你自己做。","qǐng nǐ zìjǐ zuò.","Please do it yourself.","他只关心自己。","tā zhǐ guānxīn zìjǐ.","He only cares about himself."
帮,bāng,"to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society","你能帮我一个忙吗？","nǐ néng bāng wǒ yī ge máng ma?","Can you help me? / Can you do me a favor?","谢谢你帮我。","xièxie nǐ bāng wǒ.","Thank you for helping me."
又,yòu,"(once) again; also; both... and...; and yet; (used for emphasis) anyway","他又迟到了。","tā yòu chídào le.","He is late again.","这个苹果又大又红。","zhège píngguǒ yòu dà yòu hóng.","This apple is both big and red."
事,shì,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]","你有什么事吗？","nǐ yǒu shénme shì ma?","What's the matter? / Can I help you?","这不是一件小事。","zhè bù shì yī jiàn xiǎo shì.","This is not a small matter."
小,xiǎo,"small; tiny; few; young","我的房间很小。","wǒ de fángjiān hěn xiǎo.","My room is very small.","他比我小两岁。","tā bǐ wǒ xiǎo liǎng suì.","He is two years younger than me."
谢谢,xièxie,"to thank; thanks; thank you","谢谢你的帮助。","xièxie nǐ de bāngzhù.","Thank you for your help.","非常谢谢！","fēicháng xièxie!","Thank you very much!"
已经,yǐjīng,"already","我已经吃过饭了。","wǒ yǐjīng chī guo fàn le.","I have already eaten.","电影已经开始了。","diànyǐng yǐjīng kāishǐ le.","The movie has already started."
事情,shìqing,"affair; matter; thing; business; CL:件[jian4],樁|桩[zhuang1]","我有点事情要处理。","wǒ yǒu diǎn shìqing yào chǔlǐ.","I have some things to deal with.","别担心，事情会好起来的。","bié dānxīn, shìqing huì hǎo qǐlai de.","Don't worry, things will get better."
吃,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2])","你喜欢吃什么？","nǐ xǐhuan chī shénme?","What do you like to eat?","我们去吃饭吧。","wǒmen qù chī fàn ba.","Let's go eat."
家,jiā,"home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]","我爱我的家。","wǒ ài wǒ de jiā.","I love my home/family.","他家有五口人。","tā jiā yǒu wǔ kǒu rén.","There are five people in his family."
大,dà,"big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother","这个房子很大。","zhège fángzi hěn dà.","This house is very big.","今天风很大。","jīntiān fēng hěn dà.","The wind is very strong today."
两,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)","我有两个姐姐。","wǒ yǒu liǎng ge jiějie.","I have two older sisters.","请给我两杯茶。","qǐng gěi wǒ liǎng bēi chá.","Please give me two cups of tea."
才,cái,"ability; talent; sb of a certain type; a capable individual; only; only then; just now","他九点才来。","tā jiǔ diǎn cái lái.","He didn't come until nine o'clock.","只有努力，才能成功。","zhǐyǒu nǔlì, cái néng chénggōng.","Only through hard work can one succeed."
着,zhe,"aspect particle indicating action in progress","他看着我。","tā kàn zhe wǒ.","He is looking at me.","门开着。","mén kāi zhe.","The door is open."
被,bèi,"quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; (coll.) (since c. 2009) used before a verb that does not accurately represent what actually happened, to describe with black humor how sb or sth was dealt with by the authorities (as in 被自殺|被自杀[bei4 zi4 sha1])","我的自行车被偷了。","wǒ de zìxíngchē bèi tōu le.","My bicycle was stolen.","他被老师批评了。","tā bèi lǎoshī pīpíng le.","He was criticized by the teacher."
所以,suǒyǐ,"therefore; as a result; so; the reason why","因为下雨，所以我没去。","yīnwèi xià yǔ, suǒyǐ wǒ méi qù.","Because it was raining, therefore I didn't go.","他很努力，所以成绩很好。","tā hěn nǔlì, suǒyǐ chéngjì hěn hǎo.","He works hard, so his grades are very good."
先,xiān,"early; prior; former; in advance; first","你先走吧。","nǐ xiān zǒu ba.","You go first.","请先洗手再吃饭。","qǐng xiān xǐshǒu zài chīfàn.","Please wash your hands first before eating."
阿,ā,"prefix used before monosyllabic names, kinship terms etc to indicate familiarity; used in transliteration; also pr. [a4]","阿姨，你好！","āyí, nǐ hǎo!","Hello, Auntie!","阿明，快过来！","Ā Míng, kuài guòlai!","Ah Ming, come over here quickly!"
那个,nàge,"that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (used in speech as a filler, similar to ""umm"", ""you know"" etc); (euph.) menstruation; sex; also pr. [nei4 ge5]","那个杯子是我的。","nàge bēizi shì wǒ de.","That cup is mine.","呃，那个，我想问一下...","è, nàge, wǒ xiǎng wèn yīxià...","Err, umm, I wanted to ask..."
谁,shéi,"who; also pr. [shui2]","你是谁？","nǐ shì shéi?","Who are you?","谁拿了我的书？","shéi ná le wǒ de shū?","Who took my book?"
一定,yīdìng,"surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must","明天一定会晴天。","míngtiān yīdìng huì qíngtiān.","It will definitely be sunny tomorrow.","你一定要来。","nǐ yīdìng yào lái.","You must come."
时候,shíhou,"time; length of time; moment; period","你什么时候有空？","nǐ shénme shíhou yǒu kòng?","When are you free?","小时候，我住在这里。","xiǎoshíhou, wǒ zhù zài zhèlǐ.","When I was young, I lived here."
等,děng,"class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once","请等一下。","qǐng děng yīxià.","Please wait a moment.","我买了苹果、香蕉、橘子等等。","wǒ mǎi le píngguǒ, xiāngjiāo, júzi děngděng.","I bought apples, bananas, oranges, etc."
还有,háiyǒu,"furthermore; in addition; still; also","我喜欢苹果，还有香蕉。","wǒ xǐhuan píngguǒ, háiyǒu xiāngjiāo.","I like apples, and also bananas.","还有别的问题吗？","háiyǒu bié de wèntí ma?","Are there any other questions?"
为什么,wèishénme,"why?; for what reason?","你为什么迟到？","nǐ wèishénme chídào?","Why are you late?","我不知道他为什么生气。","wǒ bù zhīdào tā wèishénme shēngqì.","I don't know why he is angry."
能,néng,"can; to be able to; might possibly; ability; (physics) energy","你能帮我吗？","nǐ néng bāng wǒ ma?","Can you help me?","这里不能抽烟。","zhèlǐ bù néng chōuyān.","Smoking is not allowed here."
快,kuài,"rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant","他跑得很快。","tā pǎo de hěn kuài.","He runs very fast.","快点儿！我们要迟到了。","kuài diǎnr! wǒmen yào chídào le.","Hurry up! We are going to be late."
太,tài,"highest; greatest; too (much); very; extremely","这个太贵了。","zhège tài guì le.","This is too expensive.","太好了！","tài hǎo le!","That's great!"
因为,yīnwèi,"because; owing to; on account of","因为下雨，所以我没去。","yīnwèi xià yǔ, suǒyǐ wǒ méi qù.","Because it was raining, I didn't go.","他没来上课，因为他生病了。","tā méi lái shàngkè, yīnwèi tā shēngbìng le.","He didn't come to class because he was sick."
叫,jiào,"to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)","你叫什么名字？","nǐ jiào shénme míngzi?","What is your name?","请叫他过来。","qǐng jiào tā guòlai.","Please ask him to come over."
天,tiān,"day; sky; heaven","今天天气很好。","jīntiān tiānqì hěn hǎo.","The weather is very good today.","天上有白云。","tiān shàng yǒu báiyún.","There are white clouds in the sky."
今天,jīntiān,"today; at the present; now","今天星期几？","jīntiān xīngqī jǐ?","What day is it today?","我今天很忙。","wǒ jīntiān hěn máng.","I am very busy today."
应该,yīnggāi,"ought to; should; must","你应该早点睡。","nǐ yīnggāi zǎo diǎn shuì.","You should go to bed earlier.","我们应该互相帮助。","wǒmen yīnggāi hùxiāng bāngzhù.","We should help each other."
觉得,juéde,"to think; to feel","我觉得这个电影很好看。","wǒ juéde zhège diànyǐng hěn hǎokàn.","I think this movie is very good.","你觉得怎么样？","nǐ juéde zěnmeyàng?","What do you think?"
别,bié,"to leave; to depart; to separate; to distinguish; to classify; other; another; don't ...!; to pin; to stick (sth) in","别说话！","bié shuōhuà!","Don't talk!","你别担心。","nǐ bié dānxīn.","Don't you worry."
一点,yīdiǎn,"a bit; a little; one dot; one point","请给我一点水。","qǐng gěi wǒ yīdiǎn shuǐ.","Please give me a little water.","他一点也不累。","tā yīdiǎn yě bù lèi.","He is not tired at all."
还是,háishi,"or; still; nevertheless; had better","你喝茶还是咖啡？","nǐ hē chá háishi kāfēi?","Do you drink tea or coffee?","虽然很难，他还是坚持下来了。","suīrán hěn nán, tā háishi jiānchí xiàlai le.","Although it was difficult, he still persevered."
请,qǐng,"to ask; to invite; please (do sth); to treat (to a meal etc); to request","请坐。","qǐng zuò.","Please sit down.","我请你吃饭。","wǒ qǐng nǐ chīfàn.","I'll treat you to a meal."
和,hé,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means ""and"" or ""with","我和他是朋友。","wǒ hé tā shì péngyou.","He and I are friends.","苹果和香蕉我都喜欢。","píngguǒ hé xiāngjiāo wǒ dōu xǐhuan.","I like both apples and bananas."
可是,kěshì,"but; however; (used for emphasis) indeed","我想去，可是我没有时间。","wǒ xiǎng qù, kěshì wǒ méiyǒu shíjiān.","I want to go, but I don't have time.","这件衣服很好看，可是太贵了。","zhè jiàn yīfu hěn hǎokàn, kěshì tài guì le.","This dress is beautiful, but it's too expensive."
那么,nàme,"like that; in that way; or so; so; so very much; about; in that case","不要那么紧张。","bùyào nàme jǐnzhāng.","Don't be so nervous.","既然你不想去，那么就算了吧。","jìrán nǐ bù xiǎng qù, nàme jiù suàn le ba.","Since you don't want to go, then let's just forget about it."
喜欢,xǐhuan,"to like; to be fond of","我喜欢吃水果。","wǒ xǐhuan chī shuǐguǒ.","I like eating fruit.","她很喜欢这只小狗。","tā hěn xǐhuan zhè zhī xiǎo gǒu.","She is very fond of this puppy."
回来,huílai,"to return; to come back","你什么时候回来？","nǐ shénme shíhou huílai?","When are you coming back?","他刚从国外回来。","tā gāng cóng guówài huílai.","He just came back from abroad."
嘛,ma,"modal particle indicating that sth is obvious; particle indicating a pause for emphasis","这很简单嘛。","zhè hěn jiǎndān ma.","This is obviously simple.","快点嘛，我们要迟到了。","kuài diǎn ma, wǒmen yào chídào le.","Hurry up, we're going to be late."
一起,yīqǐ,"in the same place; together; with; altogether (in total)","我们一起去吧。","wǒmen yīqǐ qù ba.","Let's go together.","他和朋友住在一起。","tā hé péngyou zhù zài yīqǐ.","He lives together with his friends."
不能,bùnéng,"cannot; must not; should not","这里不能停车。","zhèlǐ bùnéng tíngchē.","Parking is not allowed here.","我不能同意你的看法。","wǒ bùnéng tóngyì nǐ de kànfǎ.","I cannot agree with your view."
是不是,shìbùshì,"is or isn't; yes or no; whether or not","你是不是生病了？","nǐ shìbùshì shēngbìng le?","Are you sick?","我们明天去，是不是？","wǒmen míngtiān qù, shìbùshì?","We are going tomorrow, right?"
打,dǎ,"to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from","他打了我一下。","tā dǎ le wǒ yīxià.","He hit me.","我喜欢打篮球。","wǒ xǐhuan dǎ lánqiú.","I like playing basketball."
但是,dànshì,"but; however","我很想去，但是我太忙了。","wǒ hěn xiǎng qù, dànshì wǒ tài máng le.","I really want to go, but I'm too busy.","他虽然失败了，但是没有放弃。","tā suīrán shībài le, dànshì méiyǒu fàngqì.","Although he failed, he didn't give up."
